state,year,persons_avg,persons_max,n_months,state_fips,burden_index,no_online_app,recert_burden,no_bbce,no_simplereport,certnonearnavg,bbce,oapp_mean
Maryland,2014,785850.9166666666,789349,12,24,0.2196224024154823,0,0.8784896096619292,0,0,7.868836916666667,1,1
Maryland,2015,777791.5,781497,12,24,0.22451332052265272,0,0.8980532820906109,0,0,7.511395083333333,1,1
Maryland,2016,728046.25,755752,12,24,0.19833919331024794,0,0.7933567732409917,0,0,9.42427275,1,1
Maryland,2017,672530.3333333334,696120,12,24,0.20822048069297722,0,0.8328819227719089,0,0,8.702120916666667,1,1
Maryland,2018,639101,652437,12,24,0.21278299375123103,0,0.8511319750049241,0,0,8.368679833333333,1,1
Maryland,2019,564548.6666666666,627002,12,24,0.1595687269261613,0,0.8510332102728604,0,0,8.370484333333334,1,1
Massachusetts,2010,768841.9166666666,802456,12,25,0.12118742546806657,0,0.4847497018722663,0,0,15.0627375,1,1
Massachusetts,2011,824553.4166666666,845334,12,25,0.12520847139597488,0,0.5008338855838995,0,0,14.768868333333334,1,1
Massachusetts,2012,872310.25,886055,12,25,0.1046454388992674,0,0.4185817555970696,0,0,16.271671666666666,1,1
Massachusetts,2013,887319.0833333334,891584,12,25,0.09811349555524955,0,0.3924539822209982,0,0,16.749044166666668,1,1
Massachusetts,2014,844644.0833333334,874104,12,25,0.0893605658176494,0,0.3574422632705976,0,0,17.3887325,1,1
Massachusetts,2015,779978.3333333334,786705,12,25,0.09322189557279313,0,0.3728875822911725,0,0,17.106535833333332,1,1
Massachusetts,2016,774994.3333333334,787411,12,25,0.07873434906935473,0,0.3149373962774189,0,0,18.165325833333334,1,1
Massachusetts,2017,766840.8333333334,793460,12,25,0.07871693730410796,0,0.31486774921643185,0,0,18.166598333333333,1,1
Massachusetts,2018,769104.25,775079,12,25,0.08873906728145091,0,0.35495626912580364,0,0,17.434153333333335,1,1
Massachusetts,2019,702618.4166666666,764525,12,25,0.040338670077010044,0,0.21513957374405357,0,0,19.988701111111112,1,1
Michigan,2010,1836499.6666666667,1926594,12,26,0.13753042532087273,0,0.5501217012834909,0,0,13.868345833333333,1,1
Michigan,2011,1914424.4166666667,1948044,12,26,0.1253621213872651,0,0.5014484855490604,0,0,14.757639166666667,1,1
Michigan,2012,1812869.9166666667,1838439,12,26,0.11621584767196194,0,0.46486339068784777,0,0,15.426074166666666,1,1
Michigan,2013,1754181.5833333333,1784755,12,26,0.11259260413708834,0,0.45037041654835336,0,0,15.690870833333333,1,1
Michigan,2014,1652176,1686312,12,26,0.11507782290530286,0,0.4603112916212114,0,0,15.509244166666667,1,1
Michigan,2015,1546851.5833333333,1587586,12,26,0.11512933983744751,0,0.46051735934979005,0,0,15.505479166666667,1,1
Michigan,2016,1450349.6666666667,1492286,12,26,0.10843898021669533,0,0.43375592086678133,0,0,15.994429166666666,1,1
Michigan,2017,1351853.5833333333,1399290,12,26,0.11002503581510033,0,0.4401001432604013,0,0,15.878515833333333,1,1
Michigan,2018,1254205.75,1306298,12,26,0.09763535046547044,0,0.39054140186188174,0,0,16.783988333333333,1,1
Michigan,2019,1166205.8333333333,2301979,12,26,0.06745900529292122,0,0.3597813615622465,0,0,17.345995555555557,1,1
Minnesota,2010,446729.0833333333,485516,12,27,0.41856294587346043,1,0.6742517834938418,0,0,11.600403333333333,1,0
Minnesota,2011,521202.8333333333,536546,12,27,0.41492756997563823,1,0.6597102799025529,0,0,11.866086666666666,1,0
